name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL dolnośląskie biogas production public 2050,PL dolnośląskie,,biogas production,public,,,,2050,,FALSE,0.0,
PL dolnośląskie biogas production upgrading 2030,PL dolnośląskie,,biogas production,,upgrading,,,2030,,FALSE,19.4,
PL dolnośląskie biogas production upgrading 2035,PL dolnośląskie,,biogas production,,upgrading,,,2035,,FALSE,68.5,
PL dolnośląskie biogas production upgrading 2040,PL dolnośląskie,,biogas production,,upgrading,,,2040,,FALSE,69.9,
PL dolnośląskie biogas production upgrading 2045,PL dolnośląskie,,biogas production,,upgrading,,,2045,,FALSE,0.0,
PL dolnośląskie biogas production upgrading 2050,PL dolnośląskie,,biogas production,,upgrading,,,2050,,FALSE,0.0,
PL dolnośląskie biogas substrate supply 2020,PL dolnośląskie,,biogas substrate supply,,,,,2020,2020,TRUE,inf,
PL dolnośląskie biogas substrate supply 2025,PL dolnośląskie,,biogas substrate supply,,,,,2025,2025,TRUE,inf,
PL dolnośląskie biogas substrate supply 2030,PL dolnośląskie,,biogas substrate supply,,,,,2030,2030,TRUE,inf,
PL dolnośląskie biogas substrate supply 2035,PL dolnośląskie,,biogas substrate supply,,,,,2035,2035,TRUE,inf,
PL dolnośląskie biogas substrate supply 2040,PL dolnośląskie,,biogas substrate supply,,,,,2040,2040,TRUE,inf,
PL dolnośląskie biogas substrate supply 2045,PL dolnośląskie,,biogas substrate supply,,,,,2045,2045,TRUE,inf,
PL dolnośląskie biogas substrate supply 2050,PL dolnośląskie,,biogas substrate supply,,,,,2050,2050,TRUE,inf,
PL dolnośląskie biogas upgrading upgrading 2030,PL dolnośląskie,,biogas upgrading,,,upgrading,,2030,,FALSE,17.5,
PL dolnośląskie biogas upgrading upgrading 2035,PL dolnośląskie,,biogas upgrading,,,upgrading,,2035,,FALSE,61.6,
PL dolnośląskie biogas upgrading upgrading 2040,PL dolnośląskie,,biogas upgrading,,,upgrading,,2040,,FALSE,62.9,
PL dolnośląskie biogas upgrading upgrading 2045,PL dolnośląskie,,biogas upgrading,,,upgrading,,2045,,FALSE,0.0,
PL dolnośląskie biogas upgrading upgrading 2050,PL dolnośląskie,,biogas upgrading,,,upgrading,,2050,,FALSE,0.0,
PL dolnośląskie biomass agriculture CHP public HMV biomass and biogas 2030,PL dolnośląskie,,biomass agriculture CHP,public,HMV,,biomass and biogas,2030,,FALSE,92.4,
PL dolnośląskie biomass agriculture CHP public HMV biomass and biogas 2035,PL dolnośląskie,,biomass agriculture CHP,public,HMV,,biomass and biogas,2035,,FALSE,0.0,
PL dolnośląskie biomass agriculture CHP public HMV biomass and biogas 2040,PL dolnośląskie,,biomass agriculture CHP,public,HMV,,biomass and biogas,2040,,FALSE,0.0,
PL dolnośląskie biomass agriculture CHP public HMV biomass and biogas 2045,PL dolnośląskie,,biomass agriculture CHP,public,HMV,,biomass and biogas,2045,,FALSE,0.0,
PL dolnośląskie biomass agriculture CHP public HMV biomass and biogas 2050,PL dolnośląskie,,biomass agriculture CHP,public,HMV,,biomass and biogas,2050,,FALSE,0.0,
PL dolnośląskie biomass agriculture CHP CC public HMV biomass and biogas 2035,PL dolnośląskie,,biomass agriculture CHP CC,public,HMV,,biomass and biogas,2035,,FALSE,22.5,
PL dolnośląskie biomass agriculture CHP CC public HMV biomass and biogas 2040,PL dolnośląskie,,biomass agriculture CHP CC,public,HMV,,biomass and biogas,2040,,FALSE,39.4,
PL dolnośląskie biomass agriculture CHP CC public HMV biomass and biogas 2045,PL dolnośląskie,,biomass agriculture CHP CC,public,HMV,,biomass and biogas,2045,,FALSE,0.0,
PL dolnośląskie biomass agriculture CHP CC public HMV biomass and biogas 2050,PL dolnośląskie,,biomass agriculture CHP CC,public,HMV,,biomass and biogas,2050,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat biomass and biogas 2030,PL dolnośląskie,,biomass agriculture heat,,biomass and biogas,,,2030,,FALSE,0.1,
PL dolnośląskie biomass agriculture heat biomass and biogas 2035,PL dolnośląskie,,biomass agriculture heat,,biomass and biogas,,,2035,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat biomass and biogas 2040,PL dolnośląskie,,biomass agriculture heat,,biomass and biogas,,,2040,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat biomass and biogas 2045,PL dolnośląskie,,biomass agriculture heat,,biomass and biogas,,,2045,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat biomass and biogas 2050,PL dolnośląskie,,biomass agriculture heat,,biomass and biogas,,,2050,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat hard coal 2030,PL dolnośląskie,,biomass agriculture heat,,hard coal,,,2030,,FALSE,0.1,
PL dolnośląskie biomass agriculture heat hard coal 2035,PL dolnośląskie,,biomass agriculture heat,,hard coal,,,2035,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat hard coal 2040,PL dolnośląskie,,biomass agriculture heat,,hard coal,,,2040,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat hard coal 2045,PL dolnośląskie,,biomass agriculture heat,,hard coal,,,2045,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat hard coal 2050,PL dolnośląskie,,biomass agriculture heat,,hard coal,,,2050,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat natural gas 2030,PL dolnośląskie,,biomass agriculture heat,,natural gas,,,2030,,FALSE,0.1,
PL dolnośląskie biomass agriculture heat natural gas 2035,PL dolnośląskie,,biomass agriculture heat,,natural gas,,,2035,,FALSE,0.1,
PL dolnośląskie biomass agriculture heat natural gas 2040,PL dolnośląskie,,biomass agriculture heat,,natural gas,,,2040,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat natural gas 2045,PL dolnośląskie,,biomass agriculture heat,,natural gas,,,2045,,FALSE,0.0,
PL dolnośląskie biomass agriculture heat natural gas 2050,PL dolnośląskie,,biomass agriculture heat,,natural gas,,,2050,,FALSE,0.0,
PL dolnośląskie biomass agriculture supply 2020,PL dolnośląskie,,biomass agriculture supply,,,,,2020,2020,TRUE,inf,
PL dolnośląskie biomass agriculture supply 2025,PL dolnośląskie,,biomass agriculture supply,,,,,2025,2025,TRUE,inf,
PL dolnośląskie biomass agriculture supply 2030,PL dolnośląskie,,biomass agriculture supply,,,,,2030,2030,TRUE,inf,
PL dolnośląskie biomass agriculture supply 2035,PL dolnośląskie,,biomass agriculture supply,,,,,2035,2035,TRUE,inf,
PL dolnośląskie biomass agriculture supply 2040,PL dolnośląskie,,biomass agriculture supply,,,,,2040,2040,TRUE,inf,
PL dolnośląskie biomass agriculture supply 2045,PL dolnośląskie,,biomass agriculture supply,,,,,2045,2045,TRUE,inf,
PL dolnośląskie biomass agriculture supply 2050,PL dolnośląskie,,biomass agriculture supply,,,,,2050,2050,TRUE,inf,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2020,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2020,2020,TRUE,1.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2025,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2025,2025,TRUE,1.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2030,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2030,2030,TRUE,1.2,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2035,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2035,2035,TRUE,0.8,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2040,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2040,2040,TRUE,0.5,
PL dolnośląskie biomass wood CHP industrial HMV biomass and biogas 2045,PL dolnośląskie,,biomass wood CHP,industrial,HMV,,biomass and biogas,2045,2045,TRUE,0.2,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2020,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2020,2020,TRUE,21.5,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2025,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2025,2025,TRUE,22.9,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2030,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2030,2030,TRUE,17.6,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2035,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2035,2035,TRUE,15.0,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2040,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2040,2040,TRUE,14.1,
PL dolnośląskie biomass wood CHP public HMV biomass and biogas 2045,PL dolnośląskie,,biomass wood CHP,public,HMV,,biomass and biogas,2045,2045,TRUE,1.8,
PL dolnośląskie biomass wood boiler biomass 2020,PL dolnośląskie,,biomass wood boiler,,biomass,,,2020,2020,TRUE,1821.2,
PL dolnośląskie biomass wood boiler biomass 2025,PL dolnośląskie,,biomass wood boiler,,biomass,,,2025,2025,TRUE,1641.1,
PL dolnośląskie biomass wood boiler biomass 2030,PL dolnośląskie,,biomass wood boiler,,biomass,,,2030,2030,TRUE,1723.3,
PL dolnośląskie biomass wood boiler biomass 2035,PL dolnośląskie,,biomass wood boiler,,biomass,,,2035,2035,TRUE,1292.7,
PL dolnośląskie biomass wood boiler biomass 2040,PL dolnośląskie,,biomass wood boiler,,biomass,,,2040,2040,TRUE,861.3,
PL dolnośląskie biomass wood boiler biomass 2045,PL dolnośląskie,,biomass wood boiler,,biomass,,,2045,2045,TRUE,430.7,
PL dolnośląskie biomass wood final use 2020,PL dolnośląskie,,biomass wood final use,,,,,2020,2020,TRUE,inf,
PL dolnośląskie biomass wood final use 2025,PL dolnośląskie,,biomass wood final use,,,,,2025,2025,TRUE,inf,
PL dolnośląskie biomass wood final use 2030,PL dolnośląskie,,biomass wood final use,,,,,2030,2030,TRUE,inf,
PL dolnośląskie biomass wood final use 2035,PL dolnośląskie,,biomass wood final use,,,,,2035,2035,TRUE,inf,
PL dolnośląskie biomass wood final use 2040,PL dolnośląskie,,biomass wood final use,,,,,2040,2040,TRUE,inf,
PL dolnośląskie biomass wood final use 2045,PL dolnośląskie,,biomass wood final use,,,,,2045,2045,TRUE,inf,
PL dolnośląskie biomass wood final use 2050,PL dolnośląskie,,biomass wood final use,,,,,2050,2050,TRUE,inf,
PL dolnośląskie biomass wood heat biomass and biogas 2020,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2020,2020,TRUE,14.0,
PL dolnośląskie biomass wood heat biomass and biogas 2025,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2025,2025,TRUE,22.4,
PL dolnośląskie biomass wood heat biomass and biogas 2030,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2030,2030,TRUE,17.9,
PL dolnośląskie biomass wood heat biomass and biogas 2035,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2035,2035,TRUE,13.5,
PL dolnośląskie biomass wood heat biomass and biogas 2040,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2040,2040,TRUE,8.9,
PL dolnośląskie biomass wood heat biomass and biogas 2045,PL dolnośląskie,,biomass wood heat,,biomass and biogas,,,2045,2045,TRUE,4.5,
PL dolnośląskie biomass wood supply 2020,PL dolnośląskie,,biomass wood supply,,,,,2020,2020,TRUE,inf,
PL dolnośląskie biomass wood supply 2025,PL dolnośląskie,,biomass wood supply,,,,,2025,2025,TRUE,inf,
PL dolnośląskie biomass wood supply 2030,PL dolnośląskie,,biomass wood supply,,,,,2030,2030,TRUE,inf,
PL dolnośląskie biomass wood supply 2035,PL dolnośląskie,,biomass wood supply,,,,,2035,2035,TRUE,inf,
PL dolnośląskie biomass wood supply 2040,PL dolnośląskie,,biomass wood supply,,,,,2040,2040,TRUE,inf,
PL dolnośląskie biomass wood supply 2045,PL dolnośląskie,,biomass wood supply,,,,,2045,2045,TRUE,inf,
PL dolnośląskie biomass wood supply 2050,PL dolnośląskie,,biomass wood supply,,,,,2050,2050,TRUE,inf,
PL dolnośląskie building retrofits heat centralised 2025,PL dolnośląskie,,building retrofits,heat centralised,,,,2025,,FALSE,31.7,
PL dolnośląskie building retrofits heat centralised 2030,PL dolnośląskie,,building retrofits,heat centralised,,,,2030,,FALSE,31.7,
PL dolnośląskie building retrofits heat centralised 2035,PL dolnośląskie,,building retrofits,heat centralised,,,,2035,,FALSE,31.7,
PL dolnośląskie building retrofits heat centralised 2040,PL dolnośląskie,,building retrofits,heat centralised,,,,2040,,FALSE,31.7,
PL dolnośląskie building retrofits heat centralised 2045,PL dolnośląskie,,building retrofits,heat centralised,,,,2045,,FALSE,31.7,
PL dolnośląskie building retrofits heat centralised 2050,PL dolnośląskie,,building retrofits,heat centralised,,,,2050,,FALSE,31.7,
PL dolnośląskie building retrofits heat decentralised 2025,PL dolnośląskie,,building retrofits,heat decentralised,,,,2025,,FALSE,153.3,
PL dolnośląskie building retrofits heat decentralised 2030,PL dolnośląskie,,building retrofits,heat decentralised,,,,2030,,FALSE,153.3,
PL dolnośląskie building retrofits heat decentralised 2035,PL dolnośląskie,,building retrofits,heat decentralised,,,,2035,,FALSE,153.3,
PL dolnośląskie building retrofits heat decentralised 2040,PL dolnośląskie,,building retrofits,heat decentralised,,,,2040,,FALSE,153.3,
PL dolnośląskie building retrofits heat decentralised 2045,PL dolnośląskie,,building retrofits,heat decentralised,,,,2045,,FALSE,153.3,
PL dolnośląskie building retrofits heat decentralised 2050,PL dolnośląskie,,building retrofits,heat decentralised,,,,2050,,FALSE,153.3,
PL dolnośląskie centralised other heating biomass and biogas 2020,PL dolnośląskie,,centralised other heating,,,biomass and biogas,,2020,2020,TRUE,inf,
PL dolnośląskie centralised other heating biomass and biogas 2025,PL dolnośląskie,,centralised other heating,,,biomass and biogas,,2025,2025,TRUE,1.3,
PL dolnośląskie centralised other heating biomass and biogas 2030,PL dolnośląskie,,centralised other heating,,,biomass and biogas,,2030,2030,TRUE,33.7,
